,en,zh-CN,am,ar,bg,bn,ca,cs,da,de,el,es-419,es,et,fa,fi,fil,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,ml,mr,ms,nl,no,pl,pt-BR,pt-PT,ro,ru,sk,sl,sr,sv,sw,ta,te,th,tr,uk,vi,zh-TW
char,Char,字符,ቁምፊ,حرف,Знак,অক্ষর,Caràcter,Znak,Tegn,Zeichen,Χαρακτήρας,Carácter,Carácter,Tähemärk,کاراکتر,Merkki,Karakter,Caractère,અક્ષર,תו,अक्षर,Znak,Karakter,Karakter,Carattere,文字,ಅಕ್ಷರ,문자,Simbolis,Rakstzīme,അക്ഷരം,अक्षर,Aksara,Karakter,Tegn,Znak,Caráter,Caráter,Caracter,Символ,Znak,Znak,Karakter,Tecken,Herufi,எழுத்து,అక్షరం,ตัวอักษร,Karakter,Символ,Ký tự,字元
reset,Reset,重置,ዳግም ጀምር,إعادة تعيين,Нулиране,রিসেট,Restablir,Resetovat,Nulstil,Zurücksetzen,Επαναφορά,Reiniciar,Reiniciar,Lähtesta,بازنشانی,Nollaa,I-reset,Réinitialiser,રીસેટ કરો,איפוס,रीसेट,Resetiraj,Visszaállítás,Atur Ulang,Reimposta,リセット,ಮರುಹೊಂದಿಸಿ,재설정,Atstatyti,Atiestatīt,പുനഃസജ്ജമാക്കുക,रीसेट करा,Tetap Semula,Resetten,Tilbakestill,Resetuj,Redefinir,Redefinir,Resetează,Сброс,Resetovať,Ponastavi,Resetuj,Återställ,Weka Upya,மீட்டமை,రీసెట్,รีเซ็ต,Sıfırla,Скинути,Đặt lại,重設
copy,Copy,复制,ኮፒ,نسخ,Копиране,অনুলিপি,Còpia,Kopírovat,Kopiér,Kopieren,Αντιγραφή,Copiar,Copiar,Kopeeri,کپی,Kopioi,Kopyahin,Copier,કૉપિ,העתק,कॉपी,Kopiraj,Másolás,Salin,Copia,コピー,ನಕಲಿಸಿ,복사,Kopijuoti,Kopēt,പകർത്തുക,कॉपी,Salin,Kopiëren,Kopier,Kopiuj,Copiar,Copiar,Copiază,Копировать,Kopírovať,Kopiraj,Kopiraj,Kopiera,Nakili,நகல்,కాపీ,คัดลอก,Kopyala,Копіювати,Sao chép,複製
copied,Copied,已复制,ተኮፒ ሆኗል,تم النسخ,Копирано,অনুলিপি করা হয়েছে,Copiat,Zkopírováno,Kopieret,Kopiert,Αντιγράφηκε,Copiado,Copiado,Kopeeritud,کپی شده,Kopioitu,Nakopya,Copié,કૉપિ થઈ ગયું,הועתק,कॉपी किया गया,Kopirano,Másolva,Tersalin,Copiato,コピー済み,ನಕಲಿಸಲಾಗಿದೆ,복사됨,Nukopijuota,Nokopēts,പകർത്തി,कॉपी झाले,Telah Disalin,Gekopieerd,Kopiert,Skopiowane,Copiado,Copiado,Copiat,Скопировано,Skopírované,Kopirano,Kopirano,Kopierat,Imenakiliwa,நகலிடப்பட்டது,కాపీ చేయబడింది,คัดลอกแล้ว,Kopyalandı,Скопійовано,Đã sao chép,已複製
pause,Pause,暂停,እቅፍ,توقف,Пауза,বিরতি,Pausa,Pauza,Pause,Pause,Παύση,Pausa,Pausa,Paus,توقف,Tauko,Pahinga,Pause,વિરામ,השהייה,विराम,Pauza,Szünet,Jeda,Pausa,一時停止,ವಿರಾಮ,일시정지,Pauzė,Pauze,ഇടവേള,विराम,Jeda,Pauze,Pause,Pauza,Pausa,Pausa,Pauză,Пауза,Pauza,Pavza,Pauza,Pausa,Sitisha,இடைநிறுத்து,విరామం,หยุดชั่วคราว,Duraklat,Пауза,Tạm dừng,暫停
back,Back,返回,ተመለስ,العودة,Назад,পেছনে,Enrere,Zpět,Tilbage,Zurück,Πίσω,Atrás,Atrás,Tagasi,بازگشت,Takaisin,Bumalik,Retour,પાછળ,חזור,वापस,Natrag,Vissza,Kembali,Indietro,戻る,ಹಿಂತಿರುಗಿ,뒤로,Atgal,Atpakaļ,പിന്നിലേക്ക്,मागे,Kembali,Terug,Tilbake,Wstecz,Voltar,Voltar,Înapoi,Назад,Späť,Nazaj,Nazad,Tillbaka,Nyuma,பின்பற்று,వెనక్కి,กลับ,Geri,Назад,Quay lại,返回
search,Search,搜索,ፈልግ,البحث,Търсене,অনুসন্ধান,Cerca,Hledat,Søg,Suchen,Αναζήτηση,Buscar,Buscar,Otsi,جستجو,Haku,Maghanap,Rechercher,શોધો,חיפוש,खोज,Pretraga,Keresés,Cari,Cerca,検索,ಹುಡುಕು,검색,Ieškoti,Meklēt,തിരയുക,शोध,Cari,Zoeken,Søk,Szukaj,Buscar,Pesquisar,Caută,Поиск,Hľadať,Iskanje,Pretraga,Sök,Tafuta,தேடு,వెతికి చూడు,ค้นหา,Ara,Пошук,Tìm kiếm,搜尋
promptTemplate,Prompt Template,Prompt模板,ተመርጧል ታሪክ,نموذج التنبيه,Шаблон за подсказка,প্রম্পট টেমপ্লেট,Plantilla d'indicacions,Šablona výzvy,Promptskabelon,Aufforderungsvorlage,Πρότυπο προτροπής,Plantilla de aviso,Plantilla de aviso,Viibimall,الگوی هشدار,Ohjeiden malli,Padron ng Prompt,Modèle de suggestion,પ્રોંપ્ટ ટેમ્પલેટ,תבנית פנימה,पूर्वसूचना टेम्प्लेट,Predložak upita,Kérés sablon,Pola Petunjuk,Modello di promemoria,プロンプトのテンプレート,ಪ್ರಾಂಪ್ಟ್ ಟೆಂಪ್ಲೇಟ್,프롬프트 템플릿,Užklausos šablonas,Piedāvājuma veidne,പ്രോംപ്റ്റ് ടെമ്പ്ലേറ്റ്,सूचना टेम्प्लेट,Templat Pesanan,Prompt sjabloon,Prompt Mal,Szablon Zapytania,Modelo de Prompt,Modelo de Prompt,Șablon Prompt,Шаблон подсказки,Šablóna Pokynu,Predloga Zahteve,Šablon Upita,Promptmall,Kiolezo cha Utatuzi,உதவி வார்ப்பு,ప్రాంప్ట్ మ్యాటింపు,แม่แบบโปรโมต,İstem Şablonu,Шаблон підказки,Mẫu Hướng dẫn,提示模板
cancel,Cancel,取消,ሰርዝ,إلغاء,Отказ,বাতিল,Cancel·lar,Zrušit,Annuller,Abbrechen,Ακύρωση,Cancelar,Cancelar,Tühista,لغو,Peruuta,Itigil,Annuler,રદ કરો,ביטול,रद्द करें,Odustani,Mégse,Batal,Annulla,キャンセル,ರದ್ದು ಮಾಡು,취소,Atšaukti,Atcelt,റദ്ദാക്കുക,रद्द करा,Batal,Annuleren,Avbryt,Anuluj,Cancelar,Cancelar,Anulare,Отмена,Zrušiť,Prekliči,Otkaži,Avbryt,Ghairi,ரத்துசெய்,రద్దు చేయి,ยกเลิก,İptal,Скасувати,Hủy,取消
save,Save,保存,አስቀምጥ,حفظ,Запазване,সংরক্ষণ,Desa,Uložit,Gem,Speichern,Αποθήκευση,Guardar,Guardar,Salvesta,ذخیره,Tallenna,I-save,Enregistrer,સાચવો,שמירה,सहेजें,Spremi,Mentés,Simpan,Salva,保存,ಉಳಿಸು,저장,Išsaugoti,Saglabāt,സേവ്,सेव्ह करा,Simpan,Opslaan,Lagre,Zapisz,Salvar,Guardar,Salvare,Сохранить,Uložiť,Shrani,Sačuvaj,Spara,Hifadhi,சேமிக்க,భద్రపరచు,บันทึก,Kaydet,Зберегти,Lưu,保存
next,Next,下一个,ቀጣይ,التالي,Следващ,পরবর্তী,Següent,Další,Næste,Weiter,Επόμενο,Siguiente,Siguiente,Järgmine,بعدی,Seuraava,Susunod,Suivant,આગામી,הבא,अगला,Sljedeće,Következő,Selanjutnya,Avanti,次へ,ಮುಂದುವರಿಸು,다음,Kitas,Nākamais,അടുത്തത്,पुढे,Seterusnya,Volgende,Neste,Następny,Próximo,Próximo,Următorul,Далее,Ďalej,Naprej,Sledeće,Nästa,Ifuatayo,அடுத்து,తరువాత,ถัดไป,İleri,Далі,Tiếp theo,下一步
chatDocsAddon,Chat with Docs,读取文档,ተንኮል ከ ተረጋጋይ ትምህር ጋር,الدردشة مع المستندات,Чат с документи,ডকুমেন্ট সহ চ্যাট,Xateja amb Documents,Chat s dokumenty,Chat med Dokumenter,Chat mit Dokumenten,Συνομιλία με Έγγραφα,Chat con Documentos,Chat con Documentos,Vestlus dokumentidega,چت با اسناد,Keskustele asiakirjojen kanssa,Usapang may Docs,Discussion avec Docs,ડોક્યુમેન્ટ્સ સાથે ચેટ,צ'אט עם מסמכים,डॉक्यूमेंट्स के साथ चैट,Čavrljanje s dokumentima,Csevegés dokumentumokkal,Obrolan dengan Dokumen,Chat con Documenti,ドキュメントとのチャット,ಡಾಕ್ಸ್ ಸಹ ಚಾಟ್,문서와 채팅,Pokalbis su Dokumentais,Čats ar Dokumentiem,ഡോക്യുമെന്റുകൾ സഹ ചാറ്റ്,दस्तऐवजांसह चॅट,Berbual dengan Dokumen,Chatten met Documenten,Chat med Dokumenter,Czat z Dokumentami,Conversar com Documentos,Conversar com Documentos,Chat cu Documente,Чат с документами,Chat s Dokumentmi,Klepet z Dokumenti,Ćaskanje sa Dokumentima,Chatta med Dokument,Ongea na Nyaraka,ஆவணங்களுடன் உரை,డాక్యుమెంట్స్తో చాట్,พูดคุยกับเอกสาร,Belgelerle Sohbet,Чат з Документами,Trò chuyện với Tài liệu,與文件聊天
newFeature,New Feature,新功能,አዲስ አማራ,ميزة جديدة,Нова функционалност,নতুন বৈশিষ্ট্য,Nova característica,Nová funkce,Ny funktion,Neues Feature,Νέα δυνατότητα,Nueva característica,Nueva característica,Uus funktsioon,ویژگی جدید,Uusi ominaisuus,Bagong Tampok,Nouvelle fonctionnalité,નવું લક્ષણ,תכונה חדשה,नई सुविधा,Nova značajka,Új funkció,Fitur Baru,Nuova funzionalità,新機能,ಹೊಸ ವಿಶೇಷವನ್ನು,새로운 기능,Nauja funkcija,Jauna funkcija,പുതിയ സവിശേഷത,नवीन सुविधा,Ciri Baru,Nieuwe functie,Ny funksjon,Nowa funkcja,Nova Funcionalidade,Nova funcionalidade,Caracteristică nouă,Новая функция,Nová funkcia,Nova funkcionalnost,Nova funkcionalnost,Ny funktion,Kipengele Kipya,புதிய அம்சம்,కొత్త లక్షణం,คุณลักษณะใหม่,Yeni Özellik,Нова функція,Tính năng Mới,新功能
chatDocsTips,"Support ChatGPT, Bard, MS Copilot...","支持 ChatGPT, Bard, MS Copilot...","የ ChatGPT, Bard, MS Copilot ይጠቀሙ...",دعم ChatGPT، Bard، MS Copilot...,"Поддръжка на ChatGPT, Bard, MS Copilot...","সাপোর্ট ChatGPT, Bard, MS Copilot...","Suporta ChatGPT, Bard, MS Copilot...","Podpora ChatGPT, Bard, MS Copilot...","Understøtter ChatGPT, Bard, MS Copilot...","Unterstützt ChatGPT, Bard, MS Copilot...","Υποστήριξη ChatGPT, Bard, MS Copilot...","Compatibilidad con ChatGPT, Bard, MS Copilot...","Soporte para ChatGPT, Bard, MS Copilot...","Toetab ChatGPT, Bard, MS Copilot...",پشتیبانی از ChatGPT، Bard، MS Copilot...,"Tuki ChatGPT, Bard, MS Copilot...","Suporta sa ChatGPT, Bard, MS Copilot...","Prise en charge de ChatGPT, Bard, MS Copilot...","સપોર્ટ ChatGPT, Bard, MS Copilot...","תמיכה ב-ChatGPT, Bard, MS Copilot...","समर्थन ChatGPT, Bard, MS Copilot...","Podrška za ChatGPT, Bard, MS Copilot...","Támogatja a ChatGPT, Bard, MS Copilot...","Dukungan ChatGPT, Bard, MS Copilot...","Supporta ChatGPT, Bard, MS Copilot...",ChatGPT、Bard、MS Copilot のサポート...,"ChatGPT, Bard, MS Copilot ಅನ್ನು ಬೆಂಬಲಿಸುತ್ತದೆ...","ChatGPT, Bard, MS Copilot 지원...","Palaiko ChatGPT, Bard, MS Copilot...","Atbalsta ChatGPT, Bard, MS Copilot...","ChatGPT, Bard, MS Copilot പിന്തുണയ്ക്കുന്നു...","समर्थन ChatGPT, Bard, MS Copilot...","Sokongan ChatGPT, Bard, MS Copilot...","Ondersteuning voor ChatGPT, Bard, MS Copilot...","Støtte for ChatGPT, Bard, MS Copilot...","Wsparcie dla ChatGPT, Bard, MS Copilot...","Suporte para ChatGPT, Bard, MS Copilot...","Suporte a ChatGPT, Bard, MS Copilot...","Suport pentru ChatGPT, Bard, MS Copilot...","Поддержка ChatGPT, Bard, MS Copilot...","Podpora ChatGPT, Bard, MS Copilot...","Podpora za ChatGPT, Bard, MS Copilot...","Podrška za ChatGPT, Bard, MS Copilot...","Stöd för ChatGPT, Bard, MS Copilot...","Msaada wa ChatGPT, Bard, MS Copilot...","ChatGPT, Bard, MS Copilot க்கு ஆதரவு...","మద్దతు ChatGPT, Bard, MS Copilot...","สนับสนุน ChatGPT, Bard, MS Copilot...","ChatGPT, Bard, MS Copilot Desteği...","Підтримка ChatGPT, Bard, MS Copilot...","Hỗ trợ ChatGPT, Bard, MS Copilot...","支援 ChatGPT, Bard, MS Copilot..."
selected,Selected,已选择,ተመን ቀይር ተመን ይምረጡ,تم الاختيار,Избрано,নির্বাচিত,Seleccionat,Vybráno,Valgt,Ausgewählt,Επιλεγμένο,Seleccionado,Seleccionado,Valitud,انتخاب شده,Valittu,Napili,Sélectionné,પસંદ કર્યું,נבחר,चयनित,Odabrano,Kiválasztva,Dipilih,Selezionato,選択済み,ಆಯ್ಕೆಯಾಗಿದೆ,선택됨,Pasirinkta,Atlasīts,തിരഞ്ഞെടുത്തു,निवडले,Dipilih,Geselecteerd,Valgt,Wybrane,Selecionado,Selecionado,Selectat,Выбрано,Vybrané,Izbrano,Izabrano,Vald,Imechaguliwa,தேர்ந்தெடுக்கப்பட்டது,ఎంచుకోబడింది,เลือก,Seçildi,Вибрано,Đã chọn,已選擇
page,Page,页,ገጾች,الصفحة,Страница,পৃষ্ঠা,Pàgina,Stránka,Side,Seite,Σελίδα,Página,Página,Lehekülg,صفحه,Sivu,Pahina,Page,પૃષ્ઠ,עמוד,पृष्ठ,Stranica,Oldal,Halaman,Pagina,ページ,ಪುಟ,페이지,Puslapis,Lapa,പേജ്,पृष्ठ,Halaman,Pagina,Side,Strona,Página,Página,Pagina,Страница,Stránka,Stran,Stranica,Sida,Ukurasa,பக்கம்,పేజీ,หน้า,Sayfa,Сторінка,Trang,頁
chatDocs.supportFormat,"Support PDF, DOCX",支持PDF、DOCX,"Support PDF, DOCX",دعم PDF، DOCX,"Поддръжка на PDF, DOCX","সাপোর্ট করে PDF, DOCX","Suporta PDF, DOCX","Podpora formátů PDF, DOCX","Understøtter PDF, DOCX","Unterstützt PDF, DOCX","Υποστήριξη PDF, DOCX","Soporte PDF, DOCX","Soporte PDF, DOCX","Toetab PDF-i, DOCX-i",پشتیبانی از PDF، DOCX,"Tuki PDF, DOCX","Suporta sa PDF, DOCX","Prise en charge PDF, DOCX","પીડીએફ, ડોક્સ આધાર પર સપોર્ટ","תמיכה ב־PDF, DOCX","PDF, DOCX का समर्थन करें","Podržava PDF, DOCX","PDF, DOCX támogatás","Dukungan PDF, DOCX","Supporto PDF, DOCX",PDF、DOCX 対応,"PDF, DOCX ಬೆಂಬಲ","PDF, DOCX 지원","Palaikomi PDF, DOCX","Atbalsta PDF, DOCX","പി.ഡി.എഫ്, ഡോക്സ് പിന്തുണച്ചാണ്","पीडीएफ, डॉक्स समर्थन","Sokongan PDF, DOCX","Ondersteunt PDF, DOCX","Støtter PDF, DOCX","Obsługa PDF, DOCX","Suporte para PDF, DOCX","Suporte para PDF, DOCX","Suport PDF, DOCX","Поддержка PDF, DOCX","Podpora pre PDF, DOCX","Podpora za PDF, DOCX","Podrška za PDF, DOCX","Stöd för PDF, DOCX","Support PDF, DOCX","பிடிஎஃப், டாக்ஸ் ஆதரித்துள்ளது","యొక్క మద్దతు PDF, DOCX","รองรับ PDF, DOCX","PDF, DOCX Desteği","Підтримка PDF, DOCX","Hỗ trợ PDF, DOCX",支持 PDF、DOCX
chatDocs.files,Files/Text,文件/文本,Files/Text,ملفات/نص,Файлове/Текст,ফাইল/টেক্সট,Fitxers/Text,Soubory/Text,Filer/Text,Dateien/Text,Αρχεία/Κείμενο,Archivos/Texto,Archivos/Texto,Failid/Tekst,فایل‌ها/متن,Tiedostot/Teksti,Mga File/Teksto,Fichiers/Texte,ફાઇલો/ટેક્સટ,קבצים/טקסט,फ़ाइलें/टेक्स्ट,Datoteke/Tekst,Fájlok/Szöveg,File/Teks,File/Testo,ファイル/テキスト,ಕಡತ/ಟೆಕ್ಸ್ಟ್,파일/텍스트,Failai/Tekstas,Faili/Teksts,കടുത്ത/എഴുത്ത്,फाइलें/टेक्स्ट,Fail/Teks,Bestanden/Tekst,Filer/Tekst,Pliki/Tekst,Arquivos/Texto,Ficheiros/Texto,Fișiere/Text,Файлы/Текст,Súbory/Text,Datoteke/Besedilo,Fajlovi/Tekst,Filer/Text,Files/Text,கோப்புகள்/உரை,ఫైళ్ళు/వచనం,ไฟล์/ข้อความ,Dosyalar/Metin,Файли/Текст,Tệp/Chữ,文件/文本
